"","names","count","count_percent","episode","count_percent_rounded"
"129","hodor",386,0.394828362178307,3,0.39
"130","varys",1777,1.81764248598666,3,1.82
"131","khaleesi",1353,1.38394501043329,3,1.38
"132","pod",79,0.080806840963954,3,0.08
"133","hound",147,0.150362096477231,3,0.15
"134","stannis",399,0.408125690438198,3,0.41
"135","littlefinger",159,0.162636553332515,3,0.16
"136","khal",796,0.814205638067182,3,0.81
"137","theon",205,0.209688637944438,3,0.21
"138","olenna",927,0.948201792070701,3,0.95
"139","gregor",297,0.303792807168283,3,0.3
"140","sparrow",697,0.712941369011088,3,0.71
"141","snow",22376,22.8877705494865,3,22.89
"142","oberyn",39,0.0398919847796735,3,0.04
"143","gilly",697,0.712941369011088,3,0.71
"144","tywin",134,0.13706476821734,3,0.14
"145","daario",29,0.0296632707336034,3,0.03
"146","alliser",431,0.440857575385623,3,0.44
"147","petr",0,0,3,0
"148","daenerys",3444,3.52276911746655,3,3.52
"149","euron",64,0.0654637698948488,3,0.07
"150","eddard",2031,2.07745182275684,3,2.08
"151","podrick",18,0.0184116852829262,3,0.02
"152","shaggydog",3642,3.72529765557874,3,3.73
"153","ellaria",10,0.0102287140460701,3,0.01
"154","obara",0,0,3,0
"155","mountain",314,0.321181621046602,3,0.32
"156","brienne",187,0.191276952661511,3,0.19
"157","samwell",125,0.127858925575877,3,0.13
"158","jorah",90,0.0920584264146311,3,0.09
"159","blackfish",2,0.00204574280921403,3,0
"160","osha",1149,1.17527924389346,3,1.18
"161","joffrey",1353,1.38394501043329,3,1.38
"162","meera",61,0.0623951556810278,3,0.06
"163","tyrion",3713,3.79792152530584,3,3.8
"164","margaery",189,0.193322695470725,3,0.19
"165","rickon",8768,8.96853647559429,3,8.97
"166","roose",74,0.0756924839409189,3,0.08
"167","loras",28,0.0286403993289964,3,0.03
"168","ramsay",5120,5.2371015915879,3,5.24
"169","yara",11,0.0112515854506771,3,0.01
"170","davos",1188,1.21517122867313,3,1.22
"171","kevan",87,0.0889898122008101,3,0.09
"172","bronn",78,0.079783969559347,3,0.08
"173","bran",4932,5.04480176752179,3,5.04
"174","tyene",0,0,3,0
"175","arthur",2098,2.14598420686551,3,2.15
"176","jaime",304,0.310952907000532,3,0.31
"177","tormund",1524,1.55885602062109,3,1.56
"178","arya",6675,6.82766662575181,3,6.83
